Date,Country,Product,Price_EUR_per_kg
2024-10-01,Poland,Whole Milk,0.81
2024-10-01,Poland,Skim Milk,0.69
2024-10-01,Poland,Cheese,1.13
2024-10-01,Poland,Butter,1.5
2024-10-01,Italy,Whole Milk,0.79
2024-10-01,Italy,Skim Milk,0.66
2024-10-01,Italy,Cheese,1.2
2024-10-01,Italy,Butter,1.47
2024-11-01,Netherlands,Whole Milk,0.72
2024-11-01,Netherlands,Skim Milk,0.65
2024-11-01,Netherlands,Cheese,1.14
2024-11-01,Netherlands,Butter,1.51
2024-11-01,Germany,Whole Milk,0.79
2024-11-01,Germany,Skim Milk,0.6
2024-11-01,Germany,Cheese,1.19
2024-11-01,Germany,Butter,1.52
2024-11-01,France,Whole Milk,0.78
2024-11-01,France,Skim Milk,0.59
2024-11-01,France,Cheese,1.21
2024-11-01,France,Butter,1.49
2024-11-01,Poland,Whole Milk,0.75
2024-11-01,Poland,Skim Milk,0.68
2024-11-01,Poland,Cheese,1.18
2024-11-01,Poland,Butter,1.45
2024-11-01,Italy,Whole Milk,0.7
2024-11-01,Italy,Skim Milk,0.66
2024-11-01,Italy,Cheese,1.18
2024-11-01,Italy,Butter,1.44
2024-12-01,Netherlands,Whole Milk,0.81
2024-12-01,Netherlands,Skim Milk,0.66
2024-12-01,Netherlands,Cheese,1.27
2024-12-01,Netherlands,Butter,1.49
2024-12-01,Germany,Whole Milk,0.77
2024-12-01,Germany,Skim Milk,0.63
2024-12-01,Germany,Cheese,1.16
2024-12-01,Germany,Butter,1.44
2024-12-01,France,Whole Milk,0.76
2024-12-01,France,Skim Milk,0.51
2024-12-01,France,Cheese,1.22
2024-12-01,France,Butter,1.53
2024-12-01,Poland,Whole Milk,0.73
2024-12-01,Poland,Skim Milk,0.69
2024-12-01,Poland,Cheese,1.13
2024-12-01,Poland,Butter,1.51
2024-12-01,Italy,Whole Milk,0.76
2024-12-01,Italy,Skim Milk,0.65
2024-12-01,Italy,Cheese,1.19
2024-12-01,Italy,Butter,1.51
